Epoch 1 | Train Loss: 0.6216 | Val Loss: 0.3455
Epoch 2 | Train Loss: 0.2227 | Val Loss: 0.1723
Epoch 3 | Train Loss: 0.1332 | Val Loss: 0.1246
Epoch 4 | Train Loss: 0.0987 | Val Loss: 0.0964
Epoch 5 | Train Loss: 0.0777 | Val Loss: 0.0803
Epoch 6 | Train Loss: 0.0651 | Val Loss: 0.0885
Epoch 7 | Train Loss: 0.0585 | Val Loss: 0.0749
Epoch 8 | Train Loss: 0.0530 | Val Loss: 0.0724
Epoch 9 | Train Loss: 0.0479 | Val Loss: 0.0909
Epoch 10 | Train Loss: 0.0448 | Val Loss: 0.0697
Epoch 11 | Train Loss: 0.0423 | Val Loss: 0.1125
Epoch 12 | Train Loss: 0.0419 | Val Loss: 0.0506
Epoch 13 | Train Loss: 0.0375 | Val Loss: 0.0515
Epoch 14 | Train Loss: 0.0397 | Val Loss: 0.0486
Epoch 15 | Train Loss: 0.0349 | Val Loss: 0.0501
Epoch 16 | Train Loss: 0.0315 | Val Loss: 0.0560
Epoch 17 | Train Loss: 0.0313 | Val Loss: 0.0506
Epoch 18 | Train Loss: 0.0308 | Val Loss: 0.0396
Epoch 19 | Train Loss: 0.0284 | Val Loss: 0.0504
Epoch 20 | Train Loss: 0.0381 | Val Loss: 0.1048
Epoch 21 | Train Loss: 0.0319 | Val Loss: 0.0439
Epoch 22 | Train Loss: 0.0274 | Val Loss: 0.0369
Epoch 23 | Train Loss: 0.0259 | Val Loss: 0.0414
Epoch 24 | Train Loss: 0.0253 | Val Loss: 0.0348
Epoch 25 | Train Loss: 0.0253 | Val Loss: 0.0698
Epoch 26 | Train Loss: 0.0269 | Val Loss: 0.0443
Epoch 27 | Train Loss: 0.0287 | Val Loss: 0.0388
Epoch 28 | Train Loss: 0.0238 | Val Loss: 0.0406
Epoch 29 | Train Loss: 0.0224 | Val Loss: 0.0383
